Date,Symbols,Close,High,Low,Open,Volume
2021-09-10,AAPL.US,148.75,155.25,148.48,154.77,141098864
2021-09-10,GOOGL,2817.52,2894.37,2814.755,2884.25,1841967
2021-09-10,FB,378.69,383.79,378.26,381.361,11549595
2021-09-10,PFE,45.193,45.947,45.114,45.867,20984095
2021-09-10,BNTX,349.19,363.3,347.5,360.0,3037842
2021-09-10,MRNA,449.38,464.85,448.11,463.1565,12604792
2021-09-10,AMZN,3469.15,3508.45,3462.9055,3501.8308,2397269
2021-09-09,AAPL.US,153.85,155.88,153.73,155.26,57389366
2021-09-09,GOOGL,2870.82,2886.21,2863.55,2876.81,765855
2021-09-09,FB,378.0,379.83,376.565,377.64,9098941
2021-09-09,PFE,45.629,46.312,45.451,46.066,21885762
2021-09-09,BNTX,351.38,353.48,336.68,338.29,3210677
2021-09-09,MRNA,455.92,459.42,427.09,429.93,22189564
2021-09-09,AMZN,3484.16,3549.99,3480.37,3526.02,2719241
2021-09-08,AAPL.US,154.88,156.81,153.75,156.75,74528821
2021-09-08,GOOGL,2873.82,2888.0,2860.0,2882.0,917511
2021-09-08,FB,377.57,380.87,374.79,380.16,11067166
2021-09-08,PFE,46.105,46.383,45.848,46.105,15978664
2021-09-08,BNTX,336.24,352.81,335.26,346.21,2354633
2021-09-08,MRNA,422.9,437.17,418.2,433.72,11477788
2021-09-08,AMZN,3525.5,3545.63,3495.67,3511.65,3053364
2021-09-07,AAPL.US,156.46,157.03,154.17,154.74,82398343
2021-09-07,GOOGL,2885.61,2891.3,2872.38,2876.69,1006595
2021-09-07,FB,382.18,382.96,373.15,375.88,10798920
2021-09-07,PFE,46.343,47.087,46.135,46.581,26467157
2021-09-07,BNTX,346.61,347.98,332.2949,334.54,2482234
2021-09-07,MRNA,436.39,438.55,408.96,409.5,15995088
2021-09-07,AMZN,3509.29,3528.09,3476.94,3478.0,2741184
2021-09-03,AAPL.US,154.08,154.4,152.87,153.54,57950520
2021-09-03,GOOGL,2874.79,2883.1,2848.01,2861.61,992718
2021-09-03,FB,376.26,377.16,373.11,374.75,7511356
2021-09-03,PFE,46.432,46.621,45.94,46.492,21017646
2021-09-03,BNTX,334.3,334.31,320.71,328.49,2240824
2021-09-03,MRNA,416.7,416.81,388.68,392.71,13859922
2021-09-03,AMZN,3478.05,3482.67,3436.44,3452.0,2578324
2021-09-02,AAPL.US,153.43,154.49,152.18,153.65,71275189
2021-09-02,GOOGL,2865.74,2910.385,2863.695,2904.32,1617907
2021-09-02,FB,375.28,381.75,374.06,381.5,14838274
2021-09-02,PFE,46.432,46.462,45.729,46.076,26378892
2021-09-02,BNTX,328.53,341.7631,326.66,334.86,2116020
2021-09-02,MRNA,397.66,402.8,390.515,393.13,8909996
2021-09-02,AMZN,3463.12,3511.9608,3455.0,3494.76,2925594
2021-09-01,AAPL.US,152.29,154.75,152.12,152.61,80430926
2021-09-01,GOOGL,2904.31,2925.075,2897.67,2900.0,1096805
2021-09-01,FB,382.05,384.33,378.81,379.59,11567163
2021-09-01,PFE,45.639,45.857,45.025,45.788,33188906
2021-09-01,BNTX,332.5,336.5,326.5,334.25,2632182
2021-09-01,MRNA,389.94,394.98,375.2,382.837,11617304
2021-09-01,AMZN,3479.0,3527.0,3475.24,3496.396,3629911
2021-08-31,AAPL.US,151.61,152.58,151.07,152.44,86579292
2021-08-31,GOOGL,2893.95,2903.425,2885.62,2902.94,1122438
2021-08-31,FB,379.38,382.759,378.8,379.95,12345350
2021-08-31,PFE,45.669,46.73,45.532,46.313,34851089
2021-08-31,BNTX,329.19,349.34,327.1,340.2604,3327466
2021-08-31,MRNA,376.69,384.68,370.5,375.91,10922476
2021-08-31,AMZN,3470.79,3472.58,3395.59,3424.8,4356413
2021-08-30,AAPL.US,152.9,153.27,148.39,148.78,91089471
2021-08-30,GOOGL,2891.81,2919.41,2883.26,2888.0,1221710
2021-08-30,FB,380.66,381.49,370.52,372.56,13547261
2021-08-30,PFE,46.353,46.75,45.758,45.798,26000595
2021-08-30,BNTX,345.0,360.33,342.7893,351.0,3009981
2021-08-30,MRNA,370.69,389.04,362.8001,369.0,15529765
2021-08-30,AMZN,3421.57,3445.0,3355.22,3357.425,3192244
2021-08-27,AAPL.US,148.38,148.53,146.62,147.27,55883830
2021-08-27,GOOGL,2880.08,2890.25,2829.94,2833.05,1439010
2021-08-27,FB,372.63,373.74,364.08,365.1,11219142
2021-08-27,PFE,46.195,47.087,46.125,46.958,33213530
2021-08-27,BNTX,358.48,370.32,354.82,368.79,2332610
2021-08-27,MRNA,382.22,398.98,378.72,398.825,13188484
2021-08-27,AMZN,3349.63,3352.32,3313.75,3333.23,2402369
2021-08-26,AAPL.US,147.32,148.9,147.3,148.15,48668121
2021-08-26,GOOGL,2828.81,2848.35,2827.14,2835.0,1030466
2021-08-26,FB,364.38,369.44,364.13,368.375,7888683
2021-08-26,PFE,46.968,47.741,46.888,47.285,29284131
2021-08-26,BNTX,369.99,377.599,366.01,371.0,1927498
2021-08-26,MRNA,400.3,404.67,392.1525,395.45,8904421
2021-08-26,AMZN,3316.0,3332.0,3296.0,3299.0,2098761
2021-08-25,AAPL.US,148.14,150.1,147.58,149.59,59077393
2021-08-25,GOOGL,2841.58,2843.7897,2827.52,2832.5,792574
2021-08-25,FB,368.39,370.86,365.4,365.6,9684519
2021-08-25,PFE,47.097,47.86,46.522,47.622,51484764
2021-08-25,BNTX,376.03,376.5399,351.0,360.78,2990633
2021-08-25,MRNA,397.87,413.8,387.97,391.7,14427609
2021-08-25,AMZN,3299.18,3321.0,3286.15,3309.87,1680306
2021-08-24,AAPL.US,149.4,150.64,148.93,149.23,48677367
2021-08-24,GOOGL,2825.23,2841.6,2806.77,2812.23,963361
2021-08-24,FB,365.51,367.9559,361.84,363.66,9235148
2021-08-24,PFE,47.959,49.614,47.82,49.307,53085980
2021-08-24,BNTX,368.2,379.9799,354.2,377.33,4767514
2021-08-24,MRNA,394.94,407.5796,387.56,405.69,13957508
2021-08-24,AMZN,3305.78,3315.4942,3274.58,3280.0,2551841
2021-08-23,AAPL.US,149.49,149.97,147.67,148.09,60219570
2021-08-23,GOOGL,2800.83,2817.49,2752.15,2759.39,1422670
2021-08-23,FB,363.35,365.69,359.1,359.44,10942007
2021-08-23,PFE,49.496,50.913,49.168,49.852,89430556
2021-08-23,BNTX,382.1,388.0,370.2,373.5165,6934470
2021-08-23,MRNA,411.89,411.97,385.7716,390.34,15796513
2021-08-23,AMZN,3265.87,3280.9,3210.005,3211.9,3268131
2021-08-20,AAPL.US,147.97,148.28,146.57,147.23,60638000
2021-08-20,GOOGL,2748.59,2751.08,2705.0,2720.0,1559658
2021-08-20,FB,359.37,359.9898,353.31,354.6,8697667
2021-08-20,PFE,48.296,49.297,48.237,48.554,35466152
2021-08-20,BNTX,348.68,356.5,333.0,336.35,3978697
2021-08-20,MRNA,382.98,387.4899,369.26,374.5475,13216681
2021-08-20,AMZN,3199.95,3207.81,3175.76,3203.8725,3358428
2021-08-19,AAPL.US,146.49,147.78,144.29,144.82,87087226
2021-08-19,GOOGL,2713.6,2727.05,2685.0,2688.71,1089127
2021-08-19,FB,355.12,357.57,351.0,351.345,12004535
